Index	Compounds	物质	Class II	omt.counts	CK0_1	CK0_2	CK0_3	GCP1_1	GCP1_2	GCP1_3	GCP2_1	GCP2_2	GCP2_3	GCP3_1	GCP3_2	GCP3_3	GCP4_1	GCP4_2	GCP4_3	GCP5_1	GCP5_2	GCP5_3	GCP6_1	GCP6_2	GCP6_3	GCP8_1	GCP8_2	GCP8_3	GCP11_1	GCP11_2	GCP11_3	GCP16_1	GCP16_2	GCP16_3	GCP18_1	GCP18_2	GCP18_3	GCP19_1	GCP19_2	GCP19_3
mws0049	Gallocatechin	没食子儿茶素	Flavanols	3	9.00E+00	9.00E+00	9.00E+00	9.00E+00	9.00E+00	9.00E+00	7.22E+03	1.11E+04	5.82E+03	2.99E+04	3.22E+04	2.75E+04	1.87E+04	3.79E+04	3.87E+04	1.04E+04	1.20E+04	8.67E+03	2.10E+04	2.40E+04	1.80E+04	5.73E+03	5.25E+03	3.06E+03	1.63E+03	9.00E+00	3.26E+03	3.42E+03	4.01E+03	2.49E+03	3.29E+03	3.66E+03	2.92E+03	4.45E+03	4.19E+03	4.32E+03
pmp000106	5,7,4'-Trimethoxyflavone	5,7,4'-三甲氧基黄酮	Flavonoid	3	1.51E+07	1.47E+07	1.49E+07	1.71E+07	1.43E+07	1.37E+07	1.98E+07	1.51E+07	1.57E+07	1.59E+07	1.69E+07	1.49E+07	1.44E+07	1.47E+07	1.19E+07	1.44E+07	1.51E+07	1.37E+07	2.23E+07	2.16E+07	2.30E+07	2.01E+07	1.86E+07	1.90E+07	1.47E+07	1.38E+07	1.56E+07	1.20E+07	1.14E+07	1.37E+07	1.95E+07	2.00E+07	1.91E+07	1.61E+07	1.07E+07	1.34E+07
Lmsp009300	5,6-Dihydroxy-7,4'-dimethoxyflavone (Ladanein)	5,6-二羟基-7,4'-二甲氧基黄酮	Flavonoid	2	2.66E+04	3.04E+04	2.85E+04	2.99E+04	3.18E+04	3.32E+04	5.64E+04	3.79E+04	3.86E+04	3.99E+04	4.08E+04	3.90E+04	5.08E+04	5.18E+04	3.56E+04	6.80E+04	7.24E+04	6.37E+04	6.18E+04	6.57E+04	5.80E+04	4.67E+04	4.38E+04	3.90E+04	3.61E+04	3.54E+04	3.68E+04	4.28E+04	4.69E+04	6.85E+04	4.48E+04	4.64E+04	4.32E+04	4.72E+04	5.02E+04	4.87E+04
Lmsp008392	4',5-Dihydroxy-3',5'-dimethoxyflavone	4',5-二羟基-3',5'-二甲氧基黄酮	Flavonoid	2	3.49E+04	1.57E+04	2.53E+04	3.21E+05	2.98E+05	2.74E+05	2.90E+06	2.05E+06	1.40E+06	3.89E+05	5.01E+05	2.78E+05	1.42E+05	1.71E+05	2.82E+05	3.50E+05	3.35E+05	3.64E+05	2.88E+05	1.69E+05	4.06E+05	1.46E+06	1.01E+06	1.47E+06	1.30E+05	7.07E+04	1.90E+05	3.18E+05	4.46E+05	5.31E+05	9.74E+05	1.07E+06	8.76E+05	1.05E+06	6.02E+05	8.26E+05
mws0066	Isorhamnetin	异鼠李素	Flavonols	2	6.47E+04	3.22E+04	4.85E+04	3.61E+05	1.96E+05	1.23E+05	2.80E+06	2.17E+06	1.63E+06	2.13E+05	2.45E+05	1.81E+05	1.70E+05	3.32E+05	3.27E+05	4.18E+05	3.20E+05	5.15E+05	3.81E+05	2.66E+05	4.96E+05	1.72E+06	1.34E+06	2.02E+06	2.66E+05	2.41E+05	2.92E+05	4.09E+05	4.97E+05	6.05E+05	3.61E+05	4.69E+05	2.54E+05	7.14E+05	6.99E+05	7.07E+05
Lmsp009013	4',6-Dihydroxy-5,7-dimethoxyflavanone	4',6-二羟基-5,7-二甲氧基黄烷酮	Dihydroflavone	2	3.24E+05	3.52E+05	3.38E+05	3.18E+05	2.57E+05	2.83E+05	1.84E+05	2.29E+05	3.41E+05	5.21E+05	4.23E+05	6.20E+05	3.88E+05	9.43E+05	5.06E+05	1.15E+06	7.85E+05	1.52E+06	2.89E+05	3.15E+05	2.62E+05	2.89E+05	2.91E+05	2.12E+05	1.58E+05	1.79E+05	1.36E+05	2.31E+05	3.14E+05	3.89E+05	2.57E+05	2.29E+05	2.84E+05	3.81E+05	6.52E+05	5.17E+05
Lmsp011263	6-Hydroxy-5,7,4'-trimethoxyflavone	6-羟基-5,7,4'-三甲氧基黄酮	Flavonoid	3	1.99E+06	2.11E+06	2.05E+06	2.54E+06	2.39E+06	2.40E+06	4.26E+06	3.49E+06	2.85E+06	2.56E+06	2.72E+06	2.39E+06	2.81E+06	2.59E+06	1.90E+06	2.23E+06	2.26E+06	2.19E+06	4.02E+06	3.87E+06	4.16E+06	3.74E+06	3.39E+06	3.82E+06	2.82E+06	2.69E+06	2.95E+06	2.17E+06	2.15E+06	2.57E+06	3.42E+06	3.71E+06	3.13E+06	3.16E+06	1.98E+06	2.57E+06
Lmsp008264	4'-Hydroxy-5,6,7-trimethoxyflavone	4'-羟基-5,6,7-三甲氧基黄酮	Flavonoid	3	5.08E+05	5.28E+05	5.18E+05	5.59E+05	5.27E+05	6.06E+05	4.75E+05	4.61E+05	4.70E+05	6.06E+05	5.92E+05	6.20E+05	8.84E+05	8.00E+05	5.80E+05	5.59E+05	6.85E+05	4.32E+05	7.10E+05	7.08E+05	7.11E+05	6.02E+05	6.67E+05	5.26E+05	6.26E+05	6.57E+05	5.96E+05	9.83E+05	9.48E+05	9.92E+05	6.40E+05	6.29E+05	6.51E+05	8.63E+05	8.54E+05	8.59E+05
Hmxp006108	3-Hydroxy-5,7,8-trimethoxyflavone	3-羟基-5,7,8-三甲氧基黄酮	Flavonoid	3	2.39E+07	2.43E+07	2.41E+07	1.49E+07	1.37E+07	1.39E+07	6.25E+06	8.40E+06	6.43E+06	1.37E+07	1.30E+07	1.44E+07	1.40E+07	2.22E+07	1.83E+07	1.74E+07	1.43E+07	2.05E+07	1.37E+07	1.26E+07	1.47E+07	1.29E+07	1.39E+07	1.17E+07	1.64E+07	1.74E+07	1.54E+07	1.03E+07	1.10E+07	1.08E+07	4.65E+06	5.89E+06	3.40E+06	1.25E+07	8.89E+06	1.07E+07
Lmjp007790	5-Hydroxy-3,7,4'-trimethoxyflavone	5-羟基-3,7,4'-三甲氧基黄酮	Flavonoid	3	1.33E+04	1.08E+04	1.21E+04	8.22E+04	5.28E+04	5.04E+04	4.63E+05	1.97E+05	1.87E+05	9.79E+04	1.38E+05	5.78E+04	5.71E+04	4.68E+04	2.94E+04	7.08E+04	8.66E+04	5.50E+04	2.15E+05	1.34E+05	2.96E+05	3.17E+05	1.52E+05	1.85E+05	7.12E+04	4.33E+04	9.90E+04	5.65E+04	5.97E+04	1.07E+05	2.22E+05	2.53E+05	1.91E+05	2.17E+05	5.95E+04	1.38E+05
