Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
CK0_1	0.981	6.81e-05	62.4	0.0367	0.0378	1.06	1.16	17085.0	55.0	0.482	0.963	0.151	0.218	0.0657
CK0_2	0.974	6.39e-05	73.1	0.0511	0.0485	1.08	1.23	19200.0	67.0	0.412	0.949	0.204	0.294	0.0886
CK0_3	0.990	4.41e-05	54.3	0.0195	0.0212	1.03	1.08	24596.0	47.0	0.479	0.981	0.0815	0.118	0.0354
GCP11_1	0.633	0.000139	223.4	0.590	0.344	3.22	6.40	46028.0	222.0	0.166	0.410	1.86	2.68	0.806
GCP11_2	0.653	0.000122	226.9	0.563	0.319	2.95	5.64	46316.0	225.0	0.199	0.437	1.73	2.50	0.751
GCP11_3	0.687	0.000122	215.6	0.521	0.315	2.69	5.44	44538.0	215.0	0.130	0.479	1.69	2.44	0.736
GCP16_1	0.646	0.000173	271.8	0.577	0.360	3.22	7.53	43581.0	271.0	0.140	0.423	2.02	2.91	0.877
GCP16_2	0.703	0.000139	242.5	0.501	0.308	2.58	5.43	39239.0	242.0	0.123	0.499	1.69	2.44	0.735
GCP16_3	0.664	0.000115	196.3	0.543	0.303	2.74	4.94	42898.0	195.0	0.230	0.457	1.60	2.30	0.694
GCP18_1	0.671	7.3e-05	149.7	0.515	0.245	2.39	3.38	46323.0	145.0	0.397	0.485	1.22	1.76	0.529
GCP18_2	0.788	5.25e-05	101.5	0.362	0.193	1.77	2.42	46094.0	97.0	0.398	0.638	0.883	1.27	0.383
GCP18_3	0.615	8.83e-05	175.2	0.575	0.270	2.75	4.01	45446.0	173.0	0.362	0.425	1.39	2.01	0.604
GCP19_1	0.785	5.89e-05	151.5	0.367	0.191	1.80	2.60	44224.0	149.0	0.327	0.633	0.957	1.38	0.416
GCP19_2	0.767	6.95e-05	160.1	0.400	0.223	1.96	3.10	44516.0	157.0	0.266	0.600	1.13	1.63	0.491
GCP19_3	0.740	7.48e-05	169.9	0.436	0.234	2.09	3.33	44501.0	169.0	0.218	0.564	1.20	1.73	0.522
GCP01_1	0.939	5.3e-05	99.7	0.117	0.0802	1.19	1.44	27259.0	97.0	0.378	0.883	0.367	0.530	0.159
GCP01_2	0.949	7.48e-05	47.4	0.0984	0.0769	1.15	1.34	17968.0	47.0	0.208	0.902	0.296	0.427	0.129
GCP01_3	0.943	7.17e-05	60.5	0.109	0.0793	1.17	1.38	19283.0	59.0	0.350	0.891	0.324	0.467	0.141
GCP02_1	0.957	4.66e-05	86.7	0.0847	0.0661	1.14	1.34	28665.0	80.0	0.543	0.915	0.289	0.418	0.126
GCP02_2	0.963	4.09e-05	65.9	0.0715	0.0549	1.11	1.25	30606.0	60.0	0.508	0.928	0.225	0.324	0.0976
GCP02_3	0.946	3.98e-05	70.8	0.103	0.0679	1.16	1.33	33401.0	66.0	0.418	0.897	0.284	0.410	0.124
GCP03_1	0.261	0.00191	175.5	0.891	0.599	12.5	22.1	11567.0	175.0	0.119	0.109	3.10	4.47	1.34
GCP03_2	0.350	0.000247	124.9	0.776	0.438	5.39	8.24	33344.0	124.0	0.120	0.224	2.11	3.04	0.916
GCP03_3	0.333	0.00122	110.3	0.835	0.534	7.68	12.3	10071.0	110.0	0.126	0.165	2.51	3.62	1.09
GCP04_1	0.598	0.000117	167.7	0.607	0.315	3.09	4.98	42612.0	163.0	0.262	0.393	1.61	2.32	0.697
GCP04_2	0.502	0.000238	105.1	0.699	0.413	4.15	6.76	28414.0	102.0	0.243	0.301	1.91	2.76	0.830
GCP04_3	0.481	0.000218	136.4	0.697	0.390	4.05	6.79	31110.0	136.0	0.0949	0.303	1.92	2.76	0.832
GCP05_1	0.244	0.000711	217.7	0.894	0.585	12.8	23.3	32691.0	217.0	0.0596	0.106	3.15	4.54	1.37
GCP05_2	0.219	0.000672	207.0	0.900	0.586	13.2	22.7	33760.0	206.0	0.0676	0.0998	3.12	4.50	1.36
GCP05_3	0.222	0.000499	180.6	0.882	0.556	10.8	17.9	35877.0	179.0	0.05	0.118	2.88	4.16	1.25
GCP06_1	0.746	5.97e-05	123.2	0.424	0.217	1.99	2.83	47383.0	122.0	0.276	0.576	1.04	1.50	0.452
GCP06_2	0.655	7.78e-05	123.4	0.538	0.271	2.54	3.66	47119.0	121.0	0.287	0.462	1.30	1.87	0.564
GCP06_3	0.779	5.36e-05	105.1	0.376	0.199	1.81	2.52	46969.0	104.0	0.257	0.624	0.922	1.33	0.401
GCP08_1	0.695	9.62e-05	234.8	0.504	0.270	2.49	4.36	45345.0	233.0	0.226	0.496	1.47	2.12	0.640
GCP08_2	0.753	7.38e-05	197.4	0.424	0.231	2.07	3.39	45878.0	196.0	0.213	0.576	1.22	1.76	0.530
GCP08_3	0.780	6.45e-05	198.8	0.383	0.206	1.89	2.97	46086.0	197.0	0.227	0.617	1.09	1.57	0.473
