OTU_ID	CK0_1	CK0_2	CK0_3	GCP11_1	GCP11_2	GCP11_3	GCP16_1	GCP16_2	GCP16_3	GCP18_1	GCP18_2	GCP18_3	GCP19_1	GCP19_2	GCP19_3	GCP01_1	GCP01_2	GCP01_3	GCP02_1	GCP02_2	GCP02_3	GCP03_1	GCP03_2	GCP03_3	GCP04_1	GCP04_2	GCP04_3	GCP05_1	GCP05_2	GCP05_3	GCP06_1	GCP06_2	GCP06_3	GCP08_1	GCP08_2	GCP08_3
OTU_1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	39	0	0	0	0	2	10	1	1	0	0	0	0	0	0
OTU_100	0	0	0	0	2	0	0	0	0	1	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	257	159	38	15	69
OTU_1015	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	95	2	9	0	4	14	0	0	0	0	0	1	0	33	12	0	0	0	0	0	0
OTU_1019	7	30	24	5	0	1	0	8	0	0	0	0	0	0	0	20	19	1	2	38	26	27	0	0	0	21	1	0	0	0	0	0	0	0	0	0
OTU_1022	0	1	0	0	0	20	0	0	0	0	0	0	0	0	0	0	7	17	252	146	371	0	366	0	0	1	0	97	48	156	0	0	0	3	0	0
OTU_1023	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	3	0	0	0	0	0	1	0	0	0	0	0	43	0	0	0	0	0	0	0
OTU_1024	24	19	0	0	16	5	0	9	18	0	0	0	0	0	1	2	0	0	2	1	0	1	189	1	0	1	0	8	18	0	0	0	0	7	0	0
OTU_1025	0	1	2	0	0	0	0	0	0	0	0	0	0	27	0	56	48	45	11	0	1	140	0	0	1	0	1	0	0	0	0	0	0	0	0	1
OTU_1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	4	0	3	0	12	0	0	0	1	1	0	0	2	24	0	0	0	0	0	0
OTU_1029	0	0	23	0	0	0	0	12	16	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	29	0	0	90	0	0	0	0	0	0	0
OTU_1030	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	18	0	0	11	0	0	0	91	0	1	0	3	2	1	0	0	0	13	0	0
OTU_1031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	64	0	0
OTU_1033	0	0	0	0	0	0	19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	6	0	0	0	0	0	0	0	0
OTU_1036	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	439	255	124	0	0	2	13	160	30	16	16	14	0	0	0	0	0	0
OTU_1043	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	28	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	5	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	196	345	0	0	1	1	1	0	1	2	0	6	0	0	0	0	0	0	0	0
OTU_1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	7	1	2	14	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0
OTU_1053	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	53	0	5
OTU_1054	0	0	17	9	10	0	23	0	0	0	0	0	0	0	0	57	12	6	40	1	0	0	0	271	1	0	1	0	397	60	0	0	0	75	16	0
OTU_1056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	45	36	0	0	0	18	1	1	1	2	1	0	0	0	0	0	0
OTU_1057	0	0	1	71	4	0	131	302	269	0	1	0	8	2	3	1	1	1	0	0	1	0	1	19	1	1	0	355	1097	927	1	1	0	4	14	0
OTU_1058	4	3	35	0	0	3	0	11	0	0	0	0	0	0	0	2	0	0	2	1	2	1280	712	3	2	237	9	4	2	2	0	0	0	0	1	0
OTU_106	5	10	12	3	33	32	120	130	3	0	0	0	1	6	37	0	1	3	4	3	3	72	2	2529	12	39	5	0	798	16	4	0	1	0	0	1
OTU_1060	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	185	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1061	38	0	0	0	0	0	17	0	0	0	1	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	37	27	0	0	0	0	0	0
OTU_1064	0	0	15	0	1	11	14	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1068	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	1	0	12	0	0	0	0	0	0	0	0
OTU_107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	5
OTU_1072	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_1081	13	0	10	0	3	0	0	0	0	0	0	1	0	49	221	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	1
OTU_1082	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1084	2	2	0	0	0	12	32	0	6	0	0	0	0	0	0	838	256	233	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_1085	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	154	105	271	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
