OTU_ID	CK0_1	CK0_2	CK0_3	GCP11_1	GCP11_2	GCP11_3	GCP16_1	GCP16_2	GCP16_3	GCP18_1	GCP18_2	GCP18_3	GCP19_1	GCP19_2	GCP19_3	GCP01_1	GCP01_2	GCP01_3	GCP02_1	GCP02_2	GCP02_3	GCP03_1	GCP03_2	GCP03_3	GCP04_1	GCP04_2	GCP04_3	GCP05_1	GCP05_2	GCP05_3	GCP06_1	GCP06_2	GCP06_3	GCP08_1	GCP08_2	GCP08_3
OTU_1	16768	18703	24355	135	65	67	183	132	32	11	7	113	349	298	392	25593	17052	18187	27420	29484	31612	3022	1946	3350	25485	14263	14979	7965	5806	7512	32	13	9	532	434	293
OTU_10	0	0	0	42	26	99	21	24	74	21	2	25	1	9	7	14	4	11	18	7	27	126	78	38	135	144	428	3432	1149	743	25	8	4	28	42	30
OTU_100	0	0	0	1	0	2	4	0	5	1	1	2	0	0	0	0	0	0	0	0	0	8	0	0	0	2	0	80	0	1	2	0	0	0	0	0
OTU_101	6	5	4	1	0	7	2	0	0	1	0	0	0	0	0	7	3	6	0	0	0	17	1	4	1	0	0	24	29	3	0	0	2	5	1	5
OTU_102	11	20	11	0	1	0	0	4	0	2	0	0	0	0	0	4	15	16	1	0	4	4	2	2	9	0	0	21	21	10	0	0	0	0	1	1
OTU_103	0	0	0	12	10	16	45	25	7	2	0	3	1	6	7	0	1	0	0	2	0	35	9	0	1	7	0	49	0	39	0	0	1	5	5	3
OTU_104	0	0	0	21	19	15	52	32	6	3	0	1	30	12	3	0	2	0	0	0	0	15	6	0	3	0	3	31	22	17	0	0	0	7	9	10
OTU_105	0	0	0	11	13	0	10	6	10	0	0	1	1	1	0	0	0	0	0	0	0	0	0	31	0	0	12	7	0	6	1	0	0	4	4	5
OTU_106	0	1	0	7	7	21	63	37	10	1	0	0	0	0	2	0	0	0	0	0	0	0	0	14	9	0	0	0	1	0	0	0	0	3	2	5
OTU_107	0	0	0	0	0	0	81	55	0	1	0	1	1	1	1	0	0	0	0	0	0	7	0	0	5	1	0	15	0	1	0	0	0	0	0	0
OTU_108	1	1	0	7	9	3	28	17	4	1	0	1	0	2	0	0	0	0	0	0	0	8	6	6	0	4	0	15	0	0	0	0	0	0	0	1
OTU_109	0	0	0	1	0	0	1	0	0	0	0	1	1	1	3	0	0	0	0	0	0	6	16	0	0	0	0	27	36	29	0	0	0	2	1	0
OTU_11	0	0	0	15	0	0	4	20	28	0	0	0	1	0	0	0	0	0	0	0	0	142	11673	1668	0	0	0	23	32	12	0	0	0	0	0	0
OTU_110	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	47	11	27	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_111	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	2	2	0	0	0	0	7	6	12
OTU_112	1	2	0	5	3	13	1	2	2	1	0	0	1	2	4	0	0	0	0	0	0	2	15	5	10	0	4	25	16	52	0	1	0	0	1	0
OTU_113	0	0	0	3	1	0	0	1	0	0	0	2	0	0	2	0	0	0	1	0	0	0	1	0	0	60	0	17	0	9	0	0	0	5	4	1
OTU_114	0	0	0	7	0	0	9	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14	3	15	13	25	1	0	0	0	1	2
OTU_115	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	31	6	0	0	0	0	0	0	0	0
OTU_116	0	0	0	29	2	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0	2	13	0	4	1	0	55	105	20	9	0	3	0	1	0	0
OTU_117	0	0	0	2	0	0	18	4	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	160	0	0	0	0	0	2	2	2
OTU_119	0	0	0	0	0	0	0	0	1	2	1	5	3	0	0	0	0	1	0	0	0	5	0	3	0	0	0	0	15	3	13	18	151	0	0	0
